id,source,idno,title,category,repository_id,publisher,nation,access,year_start,year_end,created_at,updated_at,page_views_total,download_count,landing_page,api_endpoint
756,microdatos.dane.gov.co,DANE-DIMPE-GEIH-EMPALME-2014,Gran Encuesta Integrada de Hogares - GEIH - Empalme - 2014,Mercado Laboral.,MERCLAB-Microdatos,El presente catálogo contiene las bases de datos de la GEIH con factor de expansión empalmado. A partir del año 2014 incluye información de las 8 ciudades capitales de la Amazonía y Orinoquía y San Andrés.,Colombia,direct,2014,2014,2022-11-03T16:49:37+00:00,2022-11-03T19:38:27+00:00,65099,4421,https://microdatos.dane.gov.co/index.php/catalog/756,https://microdatos.dane.gov.co/index.php/api/catalog/756
621,microdatos.dane.gov.co,DANE-DIMPE-GEIH-II-SEMESTRE-2013,Gran Encuesta Integrada de Hogares - GEIH - 2013 - San Andrés (II Semestre),Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2013,2013,2019-08-09T13:45:05+00:00,2019-08-09T13:57:34+00:00,124182,4407,https://microdatos.dane.gov.co/index.php/catalog/621,https://microdatos.dane.gov.co/index.php/api/catalog/621
402,microdatos.dane.gov.co,DANE-DIMPE-EDID-2014-ENTIDAD,Encuesta Sobre Ambiente y Desempeño Institucional Departamental- EDID - 2014 - ENTIDAD .,Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2014,2014,2016-04-12T13:55:58+00:00,2017-10-18T16:39:03+00:00,211045,4371,https://microdatos.dane.gov.co/index.php/catalog/402,https://microdatos.dane.gov.co/index.php/api/catalog/402
403,microdatos.dane.gov.co,DANE-DIMPE-EDID-REGION-2014,Encuesta Sobre Ambiente y Desempeño Institucional Departamental- EDID - 2014 - REGION -,Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2014,2014,2016-04-12T13:57:34+00:00,2017-10-18T14:54:46+00:00,238380,4369,https://microdatos.dane.gov.co/index.php/catalog/403,https://microdatos.dane.gov.co/index.php/api/catalog/403
757,microdatos.dane.gov.co,DANE-DIMPE-GEIH-EMPALME-2016,Gran Encuesta Integrada de Hogares - GEIH- Empalme - 2016,Mercado Laboral.,MERCLAB-Microdatos,El presente catálogo contiene las bases de datos de la GEIH con factor de expansión empalmado. A partir del año 2014 incluye información de las 8 ciudades capitales de la Amazonía y Orinoquía y San Andrés.,Colombia,direct,2016,2016,2022-11-03T17:04:50+00:00,2022-11-03T19:38:52+00:00,65960,4352,https://microdatos.dane.gov.co/index.php/catalog/757,https://microdatos.dane.gov.co/index.php/api/catalog/757
587,microdatos.dane.gov.co,DANE-DIMPE-EDI-2018,Encuesta Sobre Ambiente y Desempeño Institucional Nacional  - EDI - 2018 (SECTOR),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2018,2018,2019-02-27T21:11:06+00:00,2019-02-27T21:15:51+00:00,106709,4295,https://microdatos.dane.gov.co/index.php/catalog/587,https://microdatos.dane.gov.co/index.php/api/catalog/587
520,microdatos.dane.gov.co,DANE-DIMPE-EAC-2016,Encuesta Anual de Comercio - EAC - 2016,Comercio interno.,CII-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2017,2017,2018-01-30T12:20:48+00:00,2018-09-11T20:28:27+00:00,79896,4294,https://microdatos.dane.gov.co/index.php/catalog/520,https://microdatos.dane.gov.co/index.php/api/catalog/520
784,microdatos.dane.gov.co,PONAL-DIJIN-CSPC-2021,"Conductas y Servicios de Policía en Colombia CSPC 2021, Conductas y Servicios de Policía en Colombia",Metadatos - DANE,METADATOS,Dirección de Investigación Criminal e INTERPOL,Colombia,data_na,2021,2021,2023-03-28T15:43:13+00:00,2023-03-28T15:43:13+00:00,53246,4287,https://microdatos.dane.gov.co/index.php/catalog/784,https://microdatos.dane.gov.co/index.php/api/catalog/784
549,microdatos.dane.gov.co,DANE-DIMPE-GEIH-ND-2016,GEIH - Nuevos Departamentos de la Amazonía y Orinoquía - 2016,Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2016,2016,2018-04-06T15:47:30+00:00,2018-04-06T16:24:51+00:00,159739,4287,https://microdatos.dane.gov.co/index.php/catalog/549,https://microdatos.dane.gov.co/index.php/api/catalog/549
586,microdatos.dane.gov.co,DANE-DIMPE-EDI-ENTIDAD-2018,Encuesta Sobre Ambiente y Desempeño Institucional Nacional  - EDI - 2018 (ENTIDAD),Gobierno.,GOB-Microdatos,Departamento Administrativo Nacional de Estadística - DANE - Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2018,2018,2019-02-27T20:15:28+00:00,2020-03-31T20:47:59+00:00,279764,4275,https://microdatos.dane.gov.co/index.php/catalog/586,https://microdatos.dane.gov.co/index.php/api/catalog/586
